Gene,DN1,DN2,DN3a,DN3b,DN4
Bcl11b,2.098582517,5.29542173,5.790209372,5.371149792,5.428758869
CD3e,3.3802,6.4472,7.1461,6.7482,3.87141578789838
CD3g,2.6902,7.0414,7.2553,7.0414,6.99283597790133
C/EBPa,4.357415863,2.10322841,2.942276749,2.904180423,2.604055713
Erg,5.722379329,5.537937363,5.359999648,3.84265088,1.779874233
Etv6,6.321699571,5.96628873,6.074538045,5.643399142,5.563489776
Gata2,5.192747487,4.216180705,4.15625851728907,3.5886767078693,2.977585538
HEBalt,2.098582517,5.252679511,5.656407643,5.050583151,4.601789853
Ikzf3,5.117484015,4.252418673,5.687999718,6.432271833,6.782572191
IL2Rb,4.1461,4.699,3.301,4.5682,0.53551694518215
Lck,5.8751,6.7482,6.9912,6.8633,6.57104971601511
pTa,3.2788,5.6902,6.8261,6.301,5.13649735139775
Mitf,2.684894257,4.676124147,4.678911683,4.649177965,4.126050374
Rag1,4.9494,6.1139,7.6021,6.6721,6.1334422189298
Scl,4.94,4.431,2.699,2.477,1.477
Sfpi1,6.703592004,6.247365277,4.970673785,4.307240215,3.222888707
Tbx21,3.410582798,3.153200307,4.37318180208197,3.84889566888192,4.58971053
Zap70,3.301,4.9823,5.3617,5.6532,5.24336218092651
Zfp287,4.944405532,5.157529246,5.538322786,5.013814854,2.612142076
Zfp316,5.184872651,4.945301725,4.46127165,4.32527167,2
