Gene,DN1,DN2,DN3a,DN3b,DN4
Per1,-1.418855829,-1.464385584,-0.98966132789967,-1.18718763984368,-1.672521606
Pou2f1,-1.023025715,-1.014663107,-0.77601235624775,-0.93089651149498,-1.165190052
Ptma,1.028600788,1.007229678,1.02240446547623,1.22646597388052,0.996079534
Rara,-1.792385654,-2.031184572,-1.59131647723498,-1.90892702341146,-2.090652007
Rbak,-1.670663248,-1.747785078,-1.35311015262088,-1.62317714479933,-2.134323405
Rreb1,0.191410806,0.092917867,-0.001227867648109,-0.001472937513172,-0.458549674
Saps1,-0.021371109,-0.003716715,0.11787529421846,0.14140200126449,-0.295478817
Satb1,-1.25067449,-1.246028596,-0.84068005355611,-1.0084712219311,-1.004442143
Stat5b,-0.433926439,-0.284328673,-0.10968951048504,-0.13158241854788,-0.629053959
Tbx21,-3.725077287,-3.621009276,-2.50362214330379,-3.00331959992531,-2.405643576
Tfdp1,-1.526640555,-1.512702875,-1.31299980915567,-1.57506118568345,-1.714334646
Tle3,-0.225790417,-0.181189841,0.015552990503036,0.018657208852444,-0.541711165
Tox,-0.458085084,-0.430209724,-0.43057225644482,-0.51651008936131,-0.8102438
Trim14,-3.385927073,-3.516941265,-3.16626138612217,-3.7982148803329,-4.397802644
Trim25,-1.464385584,-1.738493291,-1.76117150247736,-2.11268338010476,-2.03954718
Trim44,-0.596532706,-0.800952013,-0.36836029531365,-0.44188125500834,-1.04811354
Yy1,-0.588170098,-0.773076653,-0.76209652319617,-0.9142032200313,-0.787943512
Zbtb20,-2.148725674,-1.756147686,-1.44233520201045,-1.73021060444208,-2.554776753
Zbtb48,-1.642787888,-1.750572614,-1.36129593723527,-1.63299672857274,-1.777518795
Zfp1,-1.70411368,-1.531286448,-1.27698235843813,-1.53185501898268,-1.678096678
Zfp110,-1.463456405,-1.312000282,-1.07479348542254,-1.28931130812812,-1.508056981
Zfp238,-0.635093621,-0.71918429,-0.5664562773435,-0.67951517556139,-1.11780194
Zfp28,-2.945496383,-2.803332047,-2.70294599210079,-3.24242645693473,-3.477915761
Zfp382,-1.890878597,-2.034901309,-1.53647173168313,-1.84313582576235,-1.837915404
Zfp384,-2.405643576,-2.790788135,-2.04726466536771,-2.45587782173059,-2.638867422
Zfp426,-1.195852948,-1.02674243,-0.76537083633715,-0.91813105269523,-1.313858639
Zfp598,-1.294345887,-1.392838826,-1.35474731007234,-1.62514106218809,-1.287841636
Zfp748,-1.910391345,-1.768227009,-1.64452407590702,-1.97275431635344,-2.282991992
Zfp771,-1.64185871,-1.66230064,-1.33755716299882,-1.60451993700369,-1.880657628
Zkscan5,-2.134323405,-2.270912669,-1.82051843938994,-2.1838753606126,-2.492986371
Zscan22,-2.289496242,-2.501348979,-1.96786255716301,-2.36062786219321,-2.462323475
CD3e,-3.7447,-0.2924,0.2041,-0.1739,-1.13149951113286
IL2Rb,-2.2757,-4.8861,-4,-2.7447,-5.40852801746078
Notch3,-1.9586,-0.7447,-0.0044,-0.7696,-1.57919036003897
pTa,-3.2757,-1.041,0.3424,-0.6198,-2.59371007219935
Rag1,-1.4685,-0.4437,0.7993,-0.1367,-1.36666670150902
Sox13,-1.4685,-1.0862,-1.0757,-1.2218,-1.25814759890906
Zap70,-3.0458,-1.8539,-1.7959,-1.3665,-1.78018315926143
Bcl2,-1.8539,-0.8239,-1,-1.2676,-2.15322352175289
CD3g,-3.1024,0.3222,0.4771,0.0414,-0.060808048127583
cKit,-0.9586,-1.0915,-1.2596,-1.7696,-2.40390366448132
GAPDH,0.4914,0.7993,0.9138,0.9031,0.74036270217725
IL2UP,-4.1549,-3.8539,-3.5376,-5.0223,-4.43053638019414
IL7Ra,-1.7212,-0.8861,-0.7696,-1.0969,-1.32848161179939
Lat,-1.5376,-0.3872,0.0414,-0.4437,-1.19027811216321
Lck,-0.8861,-0.041,0.5441,0.0414,-0.68854560306439
Notch1,-0.6021,-0.3565,0.0414,-0.4437,-0.60571710386122
TCR-Ca,-4.1805,-3.9586,-3.0088,-2.4202,-2.59845733297485
