Gene,DN1,DN2,DN3a,DN3b,DN4
Bcl11b,-3.404510646,-1.546153307,-1.188419519,-1.479252442,-1.610266635
CD3e,-3.7447,-0.2924,0.2041,-0.1739,-1.13149951113286
CD3g,-3.1024,0.3222,0.4771,0.0414,-0.060808048127583
C/EBPa,-3.418448326,-3.8421538,-5.093757468,-4.454482543,-3.697201927
Erg,-0.49618141,-1.328725498,-1.554515915,-2.762448185,-3.568046092
Etv6,-0.019512752,-0.931037027,-0.931037027,-1.382617861,-1.5507992
Gata2,-2.127819154,-2.96175701,-3.39382619082567,-4.07119930014527,-3.410085718
HEBalt,-3.404510646,-1.817473478,-1.313858639,-1.908532988,-2.559887235
Ikzf3,-2.089722828,-3.715320911,-1.981938103,-1.44580201,-0.71268004
IL2Rb,-2.2757,-4.8861,-4,-2.7447,-5.40852801746078
Lck,-0.8861,-0.041,0.5441,0.0414,-0.68854560306439
pTa,-3.2757,-1.041,0.3424,-0.6198,-2.59371007219935
Mitf,-3.390572966,-2.693688964,-2.138040119,-2.884170591,-2.948283919
Rag1,-1.4685,-0.4437,0.7993,-0.1367,-1.36666670150902
Scl,-2.004,-2.481,-4.699,-5.523,-6.155
